Language,Greater London,Inner London,Outer London,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
English,611.740,168.920,442.830,130,21.100,27.540,32.130,16.330,39.080,7.940,38.220,19.930,27.960,24.480,13.920,8.160,16.500,15.870,30.420,27.080,16.180,12.260,3.720,14.380,18.420,26.190,15.270,13.840,18.290,14.520,20.010,23.970,7.750,20.100,15.360,4.720
French,11.680,5.930,5.750,0,460,470,100,330,60,320,640,320,700,490,580,240,560,210,60,170,230,290,220,130,940,790,270,690,450,150,550,90,130,430,440,180
Portuguese,11.000,6.140,4.860,0,320,600,40,680,40,310,340,410,260,190,490,270,470,190,40,260,440,230,230,130,1.970,280,210,790,210,90,330,110,150,330,330,300
Spanish,7.940,5.420,2.530,10,60,280,40,200,40,320,200,210,180,190,390,270,460,80,20,100,150,460,260,100,1.160,310,210,380,100,130,800,60,120,160,290,190
Arabic,17.310,8.540,8.770,10,200,840,40,1.590,30,630,230,1.960,410,190,370,1.070,370,780,30,430,680,410,1.270,320,540,200,230,520,250,130,440,120,320,330,410,1.970
Bengali,42.280,33.960,8.310,50,990,340,90,200,90,3.200,380,230,1.050,300,1.230,220,630,240,110,500,270,1.020,170,110,420,200,320,6.410,2.390,90,790,90,18.390,530,230,1.000
Urdu,26.560,7.040,19.520,0,810,700,60,1.640,30,130,1.000,2.350,260,350,320,160,240,920,140,1.200,1.680,80,90,350,320,200,990,3.630,3.650,80,150,200,160,3.140,1.480,80
Panjabi,19.470,2.880,16.590,0,550,180,320,520,20,20,280,3.990,140,470,500,40,150,460,130,2.900,2.640,80,10,170,80,110,80,1.510,2.870,140,150,20,100,700,140,10
Gujarati,18.590,3.190,15.400,0,90,1.480,100,3.420,30,20,570,1.130,410,180,710,20,120,4.010,70,620,540,40,10,160,110,60,210,1.800,1.780,60,40,120,40,390,190,30
Tamil,14.540,2.270,12.270,0,120,340,90,1.080,70,10,890,1.290,330,240,20,10,30,2.300,30,710,260,20,0,620,30,660,1.160,1.180,1.860,20,20,500,0,370,280,10
Hindi,3.770,570,3.200,0,60,180,30,220,20,30,140,530,70,100,40,20,30,320,20,380,600,10,10,70,30,50,40,190,300,60,40,30,50,40,50,30
Malayalam,1.550,530,1.020,0,30,20,10,30,10,0,370,100,10,10,10,0,0,40,20,60,70,0,0,50,0,10,20,450,130,0,0,30,20,30,10,0
Nepali,1.450,90,1.360,0,10,40,10,140,0,20,10,230,10,450,0,10,0,100,10,140,150,0,10,10,10,10,40,20,0,0,0,20,0,0,0,10
Sinhala,910,110,810,0,20,60,10,110,0,10,10,60,50,20,0,0,10,110,10,70,90,10,10,20,10,0,30,30,90,10,0,20,0,20,10,20
Konkani,320,60,260,0,0,10,0,60,0,10,20,30,10,0,0,0,10,10,0,20,50,0,10,0,10,0,30,10,10,0,0,0,0,0,10,10
Telugu,270,40,240,0,10,0,0,20,10,0,20,10,0,0,0,0,0,20,0,20,90,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0
Marathi,180,20,160,0,0,10,0,20,0,0,10,10,0,0,0,0,0,40,0,20,40,0,0,0,0,0,0,10,20,0,0,10,0,0,0,0
Pahari,100,50,50,0,0,10,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,0,0,0
Sindhi,60,10,50,0,0,0,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Balochi,60,30,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Chinese,5.460,2.420,3.040,0,60,560,240,120,60,160,180,140,160,320,150,30,130,180,80,140,100,170,30,120,280,410,100,160,180,80,360,140,250,90,130,140
Tagalog/Filipino,3.590,1.900,1.690,10,100,160,10,220,10,150,90,160,90,50,60,200,120,60,60,90,260,80,240,60,110,50,80,460,70,20,110,70,40,70,170,120
Vietnamese,2.290,1.450,840,0,20,10,50,10,10,20,20,20,90,420,300,10,170,10,10,20,30,50,20,10,100,250,20,110,20,20,200,0,190,50,30,10
Japanese,1.130,220,910,0,10,400,0,30,0,40,30,170,10,20,20,20,20,50,0,20,20,10,20,50,10,20,30,10,10,40,30,20,10,10,20,20
Korean,960,70,890,0,0,30,0,10,0,20,0,20,0,0,0,10,0,30,0,20,10,0,10,500,10,0,140,0,0,10,10,110,0,0,10,10
Thai,480,210,270,0,10,10,10,20,10,30,20,30,0,10,10,20,10,0,10,40,20,20,20,10,20,20,30,20,10,20,20,10,0,10,20,10
Malay variants,370,110,270,0,10,60,0,30,0,10,20,20,20,10,10,10,0,10,10,10,10,0,20,10,10,10,10,20,20,0,0,0,0,10,10,20
Mongolian (Khalkha),120,90,30,0,0,0,0,10,0,10,10,10,0,0,0,40,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10
Burmese/Myanma,100,30,70,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,10,10,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0
