Language,Speakers
English,46936780
Welsh,8248
Gaelic,2104
Cornish,554
Scots,1542
French,145026
Portuguese,131002
Spanish,118554
Italian,90547
German,75190
Polish,529173
Slovak,49066
Czech,28284
Romanian,66496
Lithuanian,84327
Latvian,31159
Hungarian,43241
Bulgarian,37819
Greek,49282
Dutch,25912
Swedish,18871
Danish,9827
Finnish,6457
Estonian,3316
Slovenian,1196
Maltese,2931
Albanian,32331
Serbian,14017
Ukrainian,6503
Yiddish,3986
Russian,66271
Turkish,98083
Arabic,152490
Hebrew,6147
Kurdish,47114
Persian,75179
Pashto,39607
Urdu,266330
Hindi,44826
Panjabi,271580
Pakistani Pahari,21835
Bengali,216196
Gujarati,212217
Marathi,6279
Telugu,14302
Tamil,99773
Malayalam,34714
Sinhala,14507
Nepalese,51748
Mandarin Chinese,21308
Cantonese Chinese,43022
Japanese,27305
Korean,14943
Vietnamese,14917
Thai,26425
Malay,11845
Tagalog,67593
Amharic,8539
Tigrinya,12205
Somali,84387
Krio,1187
Akan,18364
Yoruba,14806
Igbo,7844
Swahili,14890
Luganda,3425
Lingala,4872
Shona,21134
Afrikaans,11054
Other,17675
Total,51005610
