Mother Tongue,total
All Mother Tongue,26494504
Nepali,11826953
Maithili,3092530
Bhojpuri,1584958
Tharu,1529875
Tamang,1353311
Newar,846557
Magar,788530
Avadhi,501752
Bantawa,132583
Gurung,325622
Limbu,343603
Bajjika,793416
Urdu,691546
Rajbanshi,122214
Sherpa,114830
Hindi,77569
Chamling,76800
Santhali,49858
Chepang,48476
Danuwar,45821
Uranw/Urau,33651
Sunuwar,37898
Bangla,21061
Rajsthani,25394
Majhi,24422
Thami,23151
Kulung,33170
Dhimal,19300
Angika,18555
Yakkha,19558
Thulung,20659
Sampang,18270
Bhujel,21715
Darai,11677
Khaling,14467
Kumal,12222
Thakali,5242
Chhantyal,4283
Sign Language,4476
Tibetan,4445
Dumi,7638
Jirel,4829
Wambule,13470
Puma,6686
Hyolmo/Yholmo,10176
Nachhiring,10041
Dura,2156
Meche,4375
Pahari,3458
Lapcha,7499
Bote,8766
Bahing,11658
Koyee,1271
Raji,3758
Hayu/Vayu,1520
Byansi,480
Yamphu/Yamphe,9208
Ghale,8092
Khariya,238
Chhiling,2046
Lohorung,3716
Punjabi,808
Chinese,242
English,2032
Mewahang,4650
Sanskrit,1669
Kaike,50
Khamchi(Raute),461
Kisan,1178
Musalman,1075
Baram,155
Tilung,1424
Jero/Jerung,1763
Dungmali,6260
Oriya,584
Lingkhim,129
Kusunda,28
Sindhi,518
Koche,2080
Hariyanwi,889
Magahi,35614
Sam,401
Kurmali,227
Kagate,99
Dzonkha,80
Kuki,29
Chhintang,3712
Mizo,32
Nagamese,10
Lhomi,808
Assami,476
Sadhani,122
Rai,159114
Tajpuriya,18811
Khash,1747
Athpariya,5530
Ganagai,3612
Achhami,142787
Kham,27113
Malpande,247
Dhuleli,347
Arabi,8
Spanish,16
Russian,17
Doteli,787827
Belhare,599
Phangduwali,290
Waling/Walung,1169
Surel,287
Baitadeli,272524
Bankariya,69
Bajhangi,67581
French,34
Lhopa,3029
Dolpali,1667
Jumli,851
Dailekhi,3102
Sonaha,579
Dadeldhuri,488
Bajureli,10704
Darchuleli,5928
Manange,392
Gadhawali,38
Others,21173
